constructorId,position,points,year,RaceName,round,raceId
ferrari,1.0,43.0,2010,Bahrain Grand Prix,1,2010_1
mclaren,2.0,21.0,2010,Bahrain Grand Prix,1,2010_1
mercedes,3.0,18.0,2010,Bahrain Grand Prix,1,2010_1
red_bull,4.0,16.0,2010,Bahrain Grand Prix,1,2010_1
force_india,5.0,2.0,2010,Bahrain Grand Prix,1,2010_1
williams,6.0,1.0,2010,Bahrain Grand Prix,1,2010_1
hrt,7.0,0.0,2010,Bahrain Grand Prix,1,2010_1
lotus_racing,8.0,0.0,2010,Bahrain Grand Prix,1,2010_1
renault,9.0,0.0,2010,Bahrain Grand Prix,1,2010_1
sauber,10.0,0.0,2010,Bahrain Grand Prix,1,2010_1
toro_rosso,11.0,0.0,2010,Bahrain Grand Prix,1,2010_1
virgin,12.0,0.0,2010,Bahrain Grand Prix,1,2010_1
mclaren,1.0,33.0,2010,Australian Grand Prix,2,2010_2
ferrari,2.0,27.0,2010,Australian Grand Prix,2,2010_2
renault,3.0,18.0,2010,Australian Grand Prix,2,2010_2
mercedes,4.0,11.0,2010,Australian Grand Prix,2,2010_2
force_india,5.0,6.0,2010,Australian Grand Prix,2,2010_2
williams,6.0,4.0,2010,Australian Grand Prix,2,2010_2
red_bull,7.0,2.0,2010,Australian Grand Prix,2,2010_2
hrt,8.0,0.0,2010,Australian Grand Prix,2,2010_2
lotus_racing,9.0,0.0,2010,Australian Grand Prix,2,2010_2
sauber,10.0,0.0,2010,Australian Grand Prix,2,2010_2
toro_rosso,11.0,0.0,2010,Australian Grand Prix,2,2010_2
virgin,12.0,0.0,2010,Australian Grand Prix,2,2010_2
red_bull,1.0,43.0,2010,Malaysian Grand Prix,3,2010_3
mercedes,2.0,15.0,2010,Malaysian Grand Prix,3,2010_3
mclaren,3.0,12.0,2010,Malaysian Grand Prix,3,2010_3
renault,4.0,12.0,2010,Malaysian Grand Prix,3,2010_3
force_india,5.0,10.0,2010,Malaysian Grand Prix,3,2010_3
ferrari,6.0,6.0,2010,Malaysian Grand Prix,3,2010_3
toro_rosso,7.0,2.0,2010,Malaysian Grand Prix,3,2010_3
williams,8.0,1.0,2010,Malaysian Grand Prix,3,2010_3
hrt,9.0,0.0,2010,Malaysian Grand Prix,3,2010_3
lotus_racing,10.0,0.0,2010,Malaysian Grand Prix,3,2010_3
sauber,11.0,0.0,2010,Malaysian Grand Prix,3,2010_3
virgin,12.0,0.0,2010,Malaysian Grand Prix,3,2010_3
mclaren,1.0,43.0,2010,Chinese Grand Prix,4,2010_4
mercedes,2.0,16.0,2010,Chinese Grand Prix,4,2010_4
renault,3.0,16.0,2010,Chinese Grand Prix,4,2010_4
ferrari,4.0,14.0,2010,Chinese Grand Prix,4,2010_4
red_bull,5.0,12.0,2010,Chinese Grand Prix,4,2010_4
force_india,6.0,0.0,2010,Chinese Grand Prix,4,2010_4
hrt,7.0,0.0,2010,Chinese Grand Prix,4,2010_4
lotus_racing,8.0,0.0,2010,Chinese Grand Prix,4,2010_4
sauber,9.0,0.0,2010,Chinese Grand Prix,4,2010_4
toro_rosso,10.0,0.0,2010,Chinese Grand Prix,4,2010_4
virgin,11.0,0.0,2010,Chinese Grand Prix,4,2010_4
williams,12.0,0.0,2010,Chinese Grand Prix,4,2010_4
red_bull,1.0,40.0,2010,Spanish Grand Prix,5,2010_5
ferrari,2.0,26.0,2010,Spanish Grand Prix,5,2010_5
mercedes,3.0,12.0,2010,Spanish Grand Prix,5,2010_5
mclaren,4.0,10.0,2010,Spanish Grand Prix,5,2010_5
force_india,5.0,6.0,2010,Spanish Grand Prix,5,2010_5
renault,6.0,4.0,2010,Spanish Grand Prix,5,2010_5
