year,round,raceId,driverStandingsId,driverId,points,position,positionText,wins
2010,1,2010_1,Standings_2010_1,alonso,25.0,1,1,1
2010,1,2010_1,Standings_2010_1,massa,18.0,2,2,0
2010,1,2010_1,Standings_2010_1,hamilton,15.0,3,3,0
2010,1,2010_1,Standings_2010_1,vettel,12.0,4,4,0
2010,1,2010_1,Standings_2010_1,rosberg,10.0,5,5,0
2010,1,2010_1,Standings_2010_1,michael_schumacher,8.0,6,6,0
2010,1,2010_1,Standings_2010_1,button,6.0,7,7,0
2010,1,2010_1,Standings_2010_1,webber,4.0,8,8,0
2010,1,2010_1,Standings_2010_1,liuzzi,2.0,9,9,0
2010,1,2010_1,Standings_2010_1,barrichello,1.0,10,10,0
2010,1,2010_1,Standings_2010_1,kubica,0.0,11,11,0
2010,1,2010_1,Standings_2010_1,sutil,0.0,12,12,0
2010,1,2010_1,Standings_2010_1,alguersuari,0.0,13,13,0
2010,1,2010_1,Standings_2010_1,hulkenberg,0.0,14,14,0
2010,1,2010_1,Standings_2010_1,kovalainen,0.0,15,15,0
2010,1,2010_1,Standings_2010_1,buemi,0.0,16,16,0
2010,1,2010_1,Standings_2010_1,trulli,0.0,17,17,0
2010,1,2010_1,Standings_2010_1,rosa,0.0,18,18,0
2010,1,2010_1,Standings_2010_1,bruno_senna,0.0,19,19,0
2010,1,2010_1,Standings_2010_1,glock,0.0,20,20,0
2010,1,2010_1,Standings_2010_1,petrov,0.0,21,21,0
2010,1,2010_1,Standings_2010_1,kobayashi,0.0,22,22,0
2010,1,2010_1,Standings_2010_1,grassi,0.0,23,23,0
2010,1,2010_1,Standings_2010_1,chandhok,0.0,24,24,0
2010,2,2010_2,Standings_2010_2,alonso,37.0,1,1,1
2010,2,2010_2,Standings_2010_2,massa,33.0,2,2,0
2010,2,2010_2,Standings_2010_2,button,31.0,3,3,1
2010,2,2010_2,Standings_2010_2,hamilton,23.0,4,4,0
2010,2,2010_2,Standings_2010_2,rosberg,20.0,5,5,0
2010,2,2010_2,Standings_2010_2,kubica,18.0,6,6,0
