year,raceId,resultId,driverId,constructorId,number,grid,position,positionText,points,laps,time,miliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed(kph),Status
2010,2010_1,Result_2010_1_1,alonso,ferrari,8,3,1,1,25.0,49,1:39:20.396,5960396,45,1,1:58.287,191.706,Finished
2010,2010_1,Result_2010_1_2,massa,ferrari,7,2,2,2,18.0,49,+16.099,5976495,38,5,1:59.732,189.392,Finished
2010,2010_1,Result_2010_1_3,hamilton,mclaren,2,4,3,3,15.0,49,+23.182,5983578,42,4,1:59.560,189.665,Finished
2010,2010_1,Result_2010_1_4,vettel,red_bull,5,1,4,4,12.0,49,+38.799,5999195,32,12,2:00.218,188.627,Finished
2010,2010_1,Result_2010_1_5,rosberg,mercedes,4,5,5,5,10.0,49,+40.213,6000609,45,13,2:00.236,188.599,Finished
2010,2010_1,Result_2010_1_6,michael_schumacher,mercedes,3,7,6,6,8.0,49,+44.163,6004559,45,11,2:00.204,188.649,Finished
2010,2010_1,Result_2010_1_7,button,mclaren,1,8,7,7,6.0,49,+45.280,6005676,45,9,1:59.970,189.017,Finished
2010,2010_1,Result_2010_1_8,webber,red_bull,6,6,8,8,4.0,49,+46.360,6006756,45,3,1:59.487,189.781,Finished
2010,2010_1,Result_2010_1_9,liuzzi,force_india,15,12,9,9,2.0,49,+53.008,6013404,39,7,1:59.906,189.118,Finished
2010,2010_1,Result_2010_1_10,barrichello,williams,9,11,10,10,1.0,49,+1:02.489,6022885,47,6,1:59.833,189.233,Finished
2010,2010_1,Result_2010_1_11,kubica,renault,11,9,11,11,0.0,49,+1:09.093,6029489,33,14,2:00.474,188.226,Finished
2010,2010_1,Result_2010_1_12,sutil,force_india,14,10,12,12,0.0,49,+1:22.958,6043354,49,2,1:59.393,189.930,Finished
2010,2010_1,Result_2010_1_13,alguersuari,toro_rosso,17,18,13,13,0.0,49,+1:32.656,6053052,28,8,1:59.964,189.026,Finished
2010,2010_1,Result_2010_1_14,hulkenberg,williams,10,13,14,14,0.0,48,,,34,15,2:01.401,186.789,+1 Lap
2010,2010_1,Result_2010_1_15,kovalainen,lotus_racing,19,21,15,15,0.0,47,,,47,17,2:02.701,184.810,+2 Laps
2010,2010_1,Result_2010_1_16,buemi,toro_rosso,16,15,16,16,0.0,46,,,41,10,2:00.080,188.844,Electrical
2010,2010_1,Result_2010_1_17,trulli,lotus_racing,18,20,17,17,0.0,46,,,34,18,2:02.930,184.465,Hydraulics
2010,2010_1,Result_2010_1_18,rosa,sauber,22,14,18,R,0.0,28,,,27,16,2:01.650,186.406,Hydraulics
2010,2010_1,Result_2010_1_19,bruno_senna,hrt,21,23,19,R,0.0,17,,,14,22,2:09.127,175.613,Overheating
2010,2010_1,Result_2010_1_20,glock,virgin,24,19,20,R,0.0,16,,,11,21,2:07.062,178.467,Gearbox
2010,2010_1,Result_2010_1_21,petrov,renault,12,17,21,R,0.0,13,,,7,19,2:04.307,182.422,Suspension
2010,2010_1,Result_2010_1_22,kobayashi,sauber,23,16,22,R,0.0,11,,,4,20,2:05.044,181.347,Hydraulics
2010,2010_1,Result_2010_1_23,grassi,virgin,25,22,23,R,0.0,2,,,2,23,2:09.361,175.295,Hydraulics
2010,2010_1,Result_2010_1_24,chandhok,hrt,20,24,24,R,0.0,1,,,,,,,Accident
2010,2010_2,Result_2010_2_1,button,mclaren,1,4,1,1,25.0,58,1:33:36.531,5616531,52,6,1:29.291,213.804,Finished
2010,2010_2,Result_2010_2_2,kubica,renault,11,9,2,2,18.0,58,+12.034,5628565,52,8,1:29.570,213.138,Finished
2010,2010_2,Result_2010_2_3,massa,ferrari,7,5,3,3,15.0,58,+14.488,5631019,52,7,1:29.537,213.216,Finished
2010,2010_2,Result_2010_2_4,alonso,ferrari,8,3,4,4,12.0,58,+16.304,5632835,47,10,1:29.707,212.812,Finished
2010,2010_2,Result_2010_2_5,rosberg,mercedes,4,6,5,5,10.0,58,+16.683,5633214,53,2,1:28.489,215.742,Finished
2010,2010_2,Result_2010_2_6,hamilton,mclaren,2,11,6,6,8.0,58,+29.898,5646429,47,3,1:28.506,215.700,Finished
2010,2010_2,Result_2010_2_7,liuzzi,force_india,15,13,7,7,6.0,58,+59.847,5676378,55,9,1:29.685,212.865,Finished
2010,2010_2,Result_2010_2_8,barrichello,williams,9,8,8,8,4.0,58,+1:00.536,5677067,58,5,1:29.210,213.998,Finished
2010,2010_2,Result_2010_2_9,webber,red_bull,6,2,9,9,2.0,58,+1:07.319,5683850,47,1,1:28.358,216.061,Finished
2010,2010_2,Result_2010_2_10,michael_schumacher,mercedes,3,7,10,10,1.0,58,+1:09.391,5685922,58,4,1:29.185,214.058,Finished
2010,2010_2,Result_2010_2_11,alguersuari,toro_rosso,17,17,11,11,0.0,58,+1:11.301,5687832,49,11,1:29.713,212.798,Finished
2010,2010_2,Result_2010_2_12,rosa,sauber,22,14,12,12,0.0,58,+1:14.084,5690615,54,12,1:30.587,210.745,Finished
2010,2010_2,Result_2010_2_13,kovalainen,lotus_racing,19,19,13,13,0.0,56,,,52,14,1:33.638,203.878,+2 Laps
2010,2010_2,Result_2010_2_14,chandhok,hrt,20,22,14,14,0.0,53,,,48,16,1:35.045,200.860,+5 Laps
2010,2010_2,Result_2010_2_15,glock,virgin,24,23,15,R,0.0,41,,,37,15,1:34.230,202.597,Suspension
2010,2010_2,Result_2010_2_16,grassi,virgin,25,24,16,R,0.0,26,,,17,17,1:36.607,197.613,Hydraulics
2010,2010_2,Result_2010_2_17,vettel,red_bull,5,1,17,R,0.0,25,,,22,13,1:31.556,208.515,Wheel
2010,2010_2,Result_2010_2_18,sutil,force_india,14,10,18,R,0.0,9,,,6,19,1:43.223,184.947,Engine
2010,2010_2,Result_2010_2_19,petrov,renault,12,18,19,R,0.0,9,,,6,18,1:43.132,185.110,Spun off
2010,2010_2,Result_2010_2_20,bruno_senna,hrt,21,21,20,R,0.0,4,,,4,20,2:27.276,129.626,Hydraulics
2010,2010_2,Result_2010_2_21,buemi,toro_rosso,16,12,21,R,0.0,0,,,,,,,Collision
2010,2010_2,Result_2010_2_22,hulkenberg,williams,10,15,22,R,0.0,0,,,,,,,Collision
2010,2010_2,Result_2010_2_23,kobayashi,sauber,23,16,23,R,0.0,0,,,,,,,Collision
2010,2010_2,Result_2010_2_24,trulli,lotus_racing,18,20,24,W,0.0,0,,,,,,,Hydraulics
2010,2010_3,Result_2010_3_1,vettel,red_bull,5,3,1,1,25.0,56,1:33:48.412,5628412,53,6,1:37.813,204.009,Finished
2010,2010_3,Result_2010_3_2,webber,red_bull,6,1,2,2,18.0,56,+4.849,5633261,53,1,1:37.054,205.605,Finished
2010,2010_3,Result_2010_3_3,rosberg,mercedes,4,2,3,3,15.0,56,+13.504,5641916,53,8,1:38.129,203.352,Finished
2010,2010_3,Result_2010_3_4,kubica,renault,11,6,4,4,12.0,56,+18.589,5647001,55,7,1:38.074,203.466,Finished
2010,2010_3,Result_2010_3_5,sutil,force_india,14,4,5,5,10.0,56,+21.059,5649471,55,9,1:38.160,203.288,Finished
2010,2010_3,Result_2010_3_6,hamilton,mclaren,2,20,6,6,8.0,56,+23.471,5651883,32,4,1:37.745,204.151,Finished
2010,2010_3,Result_2010_3_7,massa,ferrari,7,21,7,7,6.0,56,+27.068,5655480,48,5,1:37.784,204.070,Finished
2010,2010_3,Result_2010_3_8,button,mclaren,1,17,8,8,4.0,56,+37.918,5666330,49,10,1:38.501,202.584,Finished
2010,2010_3,Result_2010_3_9,alguersuari,toro_rosso,17,14,9,9,2.0,56,+1:10.602,5699014,44,13,1:39.489,200.572,Finished
2010,2010_3,Result_2010_3_10,hulkenberg,williams,10,5,10,10,1.0,56,+1:13.399,5701811,51,11,1:39.124,201.311,Finished
2010,2010_3,Result_2010_3_11,buemi,toro_rosso,16,13,11,11,0.0,56,+1:18.938,5707350,54,3,1:37.610,204.433,Finished
2010,2010_3,Result_2010_3_12,barrichello,williams,9,7,12,12,0.0,55,,,46,12,1:39.428,200.695,+1 Lap
2010,2010_3,Result_2010_3_13,alonso,ferrari,8,19,13,13,0.0,54,,,41,2,1:37.231,205.230,Engine
2010,2010_3,Result_2010_3_14,grassi,virgin,25,24,14,14,0.0,53,,,28,18,1:43.224,193.315,+3 Laps
2010,2010_3,Result_2010_3_15,chandhok,hrt,20,22,15,15,0.0,53,,,40,21,1:44.790,190.426,+3 Laps
2010,2010_3,Result_2010_3_16,bruno_senna,hrt,21,23,16,16,0.0,52,,,39,22,1:45.334,189.443,+4 Laps
2010,2010_3,Result_2010_3_17,trulli,lotus_racing,18,18,17,17,0.0,51,,,31,20,1:43.753,192.329,+5 Laps
2010,2010_3,Result_2010_3_18,kovalainen,lotus_racing,19,15,18,N,0.0,46,,,44,17,1:42.701,194.299,+10 Laps
2010,2010_3,Result_2010_3_19,petrov,renault,12,11,19,R,0.0,32,,,32,14,1:40.693,198.174,Gearbox
2010,2010_3,Result_2010_3_20,liuzzi,force_india,15,10,20,R,0.0,12,,,9,16,1:42.594,194.502,Throttle
2010,2010_3,Result_2010_3_21,michael_schumacher,mercedes,3,8,21,R,0.0,9,,,9,15,1:42.084,195.474,Wheel
2010,2010_3,Result_2010_3_22,kobayashi,sauber,23,9,22,R,0.0,8,,,6,19,1:43.340,193.098,Engine
2010,2010_3,Result_2010_3_23,glock,virgin,24,16,23,R,0.0,2,,,2,23,1:46.388,187.566,Spun off
2010,2010_3,Result_2010_3_24,rosa,sauber,22,12,24,W,0.0,0,,,,,,,Engine
2010,2010_4,Result_2010_4_1,button,mclaren,1,5,1,1,25.0,56,1:46:42.163,6402163,14,4,1:42.886,190.731,Finished
2010,2010_4,Result_2010_4_2,hamilton,mclaren,2,6,2,2,18.0,56,+1.530,6403693,13,1,1:42.061,192.273,Finished
