,Year,Round,Status,statusId,Count
0,2010,1,Finished,1,13
1,2010,1,Accident,3,1
2,2010,1,Gearbox,6,1
3,2010,1,Hydraulics,9,4
4,2010,1,Electrical,10,1
5,2010,1,+1 Lap,11,1
6,2010,1,+2 Laps,12,1
7,2010,1,Suspension,22,1
8,2010,1,Overheating,25,1
9,2010,2,Finished,1,12
10,2010,2,Collision,4,3
11,2010,2,Engine,5,1
12,2010,2,Hydraulics,9,3
13,2010,2,+2 Laps,12,1
14,2010,2,+5 Laps,15,1
15,2010,2,Spun off,20,1
16,2010,2,Suspension,22,1
17,2010,2,Wheel,36,1
18,2010,3,Finished,1,11
19,2010,3,Engine,5,3
20,2010,3,Gearbox,6,1
21,2010,3,+1 Lap,11,1
22,2010,3,+3 Laps,13,2
23,2010,3,+4 Laps,14,1
24,2010,3,+5 Laps,15,1
25,2010,3,Spun off,20,1
26,2010,3,Wheel,36,1
27,2010,3,Throttle,37,1
28,2010,3,+10 Laps,88,1
29,2010,4,Finished,1,13
30,2010,4,Accident,3,3
31,2010,4,Engine,5,1
32,2010,4,Clutch,8,1
33,2010,4,Hydraulics,9,1
34,2010,4,+1 Lap,11,2
35,2010,4,+2 Laps,12,1
36,2010,4,+4 Laps,14,1
37,2010,4,Technical,39,1
38,2010,5,Finished,1,8
39,2010,5,Accident,3,1
40,2010,5,Collision,4,1
41,2010,5,Engine,5,1
42,2010,5,Gearbox,6,1
43,2010,5,Hydraulics,9,1
44,2010,5,+1 Lap,11,5
45,2010,5,+2 Laps,12,1
46,2010,5,+3 Laps,13,2
47,2010,5,+4 Laps,14,1
48,2010,5,Suspension,22,1
49,2010,5,Puncture,29,1
50,2010,6,Finished,1,12
51,2010,6,Collision,4,2
52,2010,6,Engine,5,1
53,2010,6,Gearbox,6,1
54,2010,6,Hydraulics,9,2
55,2010,6,Suspension,22,1
56,2010,6,Brakes,23,1
57,2010,6,Front wing,33,1
58,2010,6,Wheel,36,1
59,2010,6,Steering,38,1
60,2010,6,Track rod,49,1
61,2010,7,Finished,1,12
62,2010,7,Collision,4,1
63,2010,7,Hydraulics,9,2
64,2010,7,+1 Lap,11,5
65,2010,7,+3 Laps,13,2
66,2010,7,Fuel pressure,32,1
67,2010,7,Fuel pump,48,1
68,2010,8,Finished,1,7
69,2010,8,Accident,3,1
70,2010,8,Engine,5,1
71,2010,8,Hydraulics,9,1
72,2010,8,+1 Lap,11,8
73,2010,8,+2 Laps,12,2
74,2010,8,+4 Laps,14,1
75,2010,8,+5 Laps,15,1
76,2010,8,Brakes,23,1
77,2010,8,Mechanical,26,1
78,2010,9,Finished,1,16
79,2010,9,Collision,4,2
80,2010,9,+1 Lap,11,1
81,2010,9,+2 Laps,12,3
82,2010,9,+4 Laps,14,1
83,2010,9,Exhaust,43,1
84,2010,10,Finished,1,15
85,2010,10,Collision,4,1
86,2010,10,Hydraulics,9,1
87,2010,10,+1 Lap,11,2
88,2010,10,+2 Laps,12,3
89,2010,10,Brakes,23,1
90,2010,10,Driveshaft,30,1
91,2010,11,Finished,1,6
92,2010,11,Collision,4,2
93,2010,11,Engine,5,1
94,2010,11,Gearbox,6,2
95,2010,11,+1 Lap,11,9
96,2010,11,+2 Laps,12,2
97,2010,11,+3 Laps,13,1
98,2010,11,+4 Laps,14,1
99,2010,12,Finished,1,6
100,2010,12,Collision,4,1
101,2010,12,Engine,5,1
102,2010,12,Gearbox,6,1
103,2010,12,+1 Lap,11,7
104,2010,12,+3 Laps,13,4
105,2010,12,+4 Laps,14,2
106,2010,12,Retired,31,1
107,2010,12,Wheel,36,1
108,2010,13,Finished,1,13
109,2010,13,Accident,3,1
110,2010,13,Collision,4,2
111,2010,13,+1 Lap,11,6
112,2010,13,+2 Laps,12,1
113,2010,13,Retired,31,1
114,2010,14,Finished,1,13
115,2010,14,Collision,4,1
116,2010,14,Engine,5,1
117,2010,14,Gearbox,6,1
118,2010,14,+1 Lap,11,3
119,2010,14,+2 Laps,12,3
120,2010,14,+3 Laps,13,1
121,2010,14,Retired,31,1
122,2010,15,Finished,1,10
123,2010,15,Accident,3,2
124,2010,15,Collision,4,3
125,2010,15,Engine,5,1
126,2010,15,Hydraulics,9,3
127,2010,15,+1 Lap,11,4
128,2010,15,+2 Laps,12,1
129,2010,16,Finished,1,10
130,2010,16,Accident,3,4
131,2010,16,+1 Lap,11,2
132,2010,16,+2 Laps,12,3
133,2010,16,+3 Laps,13,1
134,2010,16,Suspension,22,2
135,2010,16,Wheel,36,1
136,2010,16,Oil leak,44,1
137,2010,17,Finished,1,12
138,2010,17,Accident,3,3
139,2010,17,Collision,4,4
140,2010,17,Engine,5,1
141,2010,17,Hydraulics,9,1
142,2010,17,+1 Lap,11,1
143,2010,17,+2 Laps,12,2
144,2010,18,Finished,1,7
145,2010,18,Accident,3,1
146,2010,18,+1 Lap,11,10
147,2010,18,+2 Laps,12,4
148,2010,18,+6 Laps,16,1
149,2010,18,+9 Laps,19,1
150,2010,19,Finished,1,16
151,2010,19,Collision,4,2
152,2010,19,Gearbox,6,1
153,2010,19,+1 Lap,11,1
154,2010,19,+2 Laps,12,3
155,2010,19,Rear wing,65,1
156,2011,1,Finished,1,7
157,2011,1,Disqualified,2,2
158,2011,1,Collision,4,2
159,2011,1,Transmission,7,2
160,2011,1,+1 Lap,11,5
161,2011,1,+2 Laps,12,1
162,2011,1,+4 Laps,14,1
163,2011,1,+9 Laps,19,1
164,2011,1,Water leak,47,1
165,2011,1,Did not qualify,81,2
166,2011,2,Finished,1,10
167,2011,2,Accident,3,3
168,2011,2,Gearbox,6,1
169,2011,2,Clutch,8,1
170,2011,2,+1 Lap,11,5
171,2011,2,+2 Laps,12,1
172,2011,2,+10 Laps,88,1
173,2011,2,+42 Laps,128,1
174,2011,2,Engine misfire,129,1
175,2011,3,Finished,1,14
176,2011,3,+1 Lap,11,5
177,2011,3,+2 Laps,12,4
178,2011,3,Wheel,36,1
179,2011,4,Finished,1,12
180,2011,4,Gearbox,6,1
181,2011,4,+1 Lap,11,6
182,2011,4,+2 Laps,12,2
183,2011,4,+3 Laps,13,1
184,2011,4,+5 Laps,15,1
185,2011,4,Retired,31,1
186,2011,5,Finished,1,4
187,2011,5,Accident,3,1
188,2011,5,Gearbox,6,2
189,2011,5,+1 Lap,11,11
190,2011,5,+2 Laps,12,3
191,2011,5,+3 Laps,13,1
192,2011,5,+4 Laps,14,1
193,2011,5,+5 Laps,15,1
194,2011,6,Finished,1,6
195,2011,6,Accident,3,2
196,2011,6,Collision,4,2
197,2011,6,Engine,5,1
198,2011,6,+1 Lap,11,4
199,2011,6,+2 Laps,12,4
200,2011,6,+3 Laps,13,2
201,2011,6,+4 Laps,14,1
202,2011,6,Suspension,22,1
203,2011,6,Injury,82,1
204,2011,7,Finished,1,12
205,2011,7,Accident,3,3
206,2011,7,Collision,4,2
207,2011,7,Transmission,7,1
208,2011,7,+1 Lap,11,5
209,2011,7,Retired,31,1
210,2011,8,Finished,1,7
211,2011,8,+1 Lap,11,11
212,2011,8,+2 Laps,12,4
213,2011,8,+3 Laps,13,2
214,2011,9,Finished,1,12
215,2011,9,Accident,3,1
216,2011,9,Engine,5,1
217,2011,9,Gearbox,6,1
218,2011,9,+1 Lap,11,3
219,2011,9,+2 Laps,12,3
220,2011,9,+3 Laps,13,1
221,2011,9,Oil leak,44,1
222,2011,9,Wheel nut,61,1
223,2011,10,Finished,1,6
224,2011,10,Collision,4,1
225,2011,10,Hydraulics,9,1
226,2011,10,Electrical,10,1
227,2011,10,+1 Lap,11,9
228,2011,10,+2 Laps,12,1
229,2011,10,+3 Laps,13,3
230,2011,10,+4 Laps,14,1
231,2011,10,Oil leak,44,1
232,2011,11,Finished,1,6
233,2011,11,Gearbox,6,1
234,2011,11,+1 Lap,11,6
235,2011,11,+2 Laps,12,4
236,2011,11,+4 Laps,14,2
237,2011,11,+5 Laps,15,2
238,2011,11,Heat shield fire,42,1
239,2011,11,Oil leak,44,1
240,2011,11,Water leak,47,1
241,2011,12,Finished,1,13
242,2011,12,Collision,4,2
243,2011,12,Engine,5,1
244,2011,12,+1 Lap,11,6
245,2011,12,Suspension,22,1
246,2011,12,Rear wing,65,1
247,2011,13,Finished,1,6
248,2011,13,Accident,3,1
249,2011,13,Collision,4,3
250,2011,13,Gearbox,6,3
251,2011,13,Hydraulics,9,1
252,2011,13,+1 Lap,11,6
253,2011,13,+2 Laps,12,3
254,2011,13,+14 Laps,111,1
255,2011,14,Finished,1,6
256,2011,14,Accident,3,3
257,2011,14,Gearbox,6,1
258,2011,14,+1 Lap,11,7
259,2011,14,+2 Laps,12,5
260,2011,14,+4 Laps,14,2
261,2011,15,Finished,1,19
262,2011,15,+2 Laps,12,3
263,2011,15,+3 Laps,13,1
264,2011,15,Wheel,36,1
265,2011,16,Finished,1,12
266,2011,16,Collision,4,2
267,2011,16,Clutch,8,1
268,2011,16,+1 Lap,11,8
269,2011,16,+3 Laps,13,1
270,2011,17,Finished,1,7
271,2011,17,Collision,4,2
272,2011,17,Engine,5,1
273,2011,17,Gearbox,6,1
274,2011,17,+1 Lap,11,6
275,2011,17,+2 Laps,12,2
276,2011,17,+3 Laps,13,3
277,2011,17,+5 Laps,15,1
278,2011,17,Suspension,22,1
279,2011,18,Finished,1,9
280,2011,18,Hydraulics,9,1
281,2011,18,+1 Lap,11,8
282,2011,18,+2 Laps,12,3
283,2011,18,Brakes,23,1
284,2011,18,Mechanical,26,1
285,2011,18,Puncture,29,1
286,2011,19,Finished,1,5
287,2011,19,Gearbox,6,1
288,2011,19,+1 Lap,11,10
289,2011,19,+2 Laps,12,3
290,2011,19,+3 Laps,13,2
291,2011,19,Retired,31,3
292,2012,1,Finished,1,12
293,2012,1,Accident,3,1
294,2012,1,Collision,4,4
295,2012,1,Gearbox,6,1
296,2012,1,+1 Lap,11,1
297,2012,1,+5 Laps,15,1
298,2012,1,Suspension,22,1
299,2012,1,Steering,38,1
300,2012,1,Did not qualify,81,2
301,2012,2,Finished,1,15
302,2012,2,Collision,4,1
303,2012,2,Engine,5,1
304,2012,2,+1 Lap,11,3
305,2012,2,+2 Laps,12,3
306,2012,2,Retired,31,1
307,2012,3,Finished,1,17
308,2012,3,+1 Lap,11,4
309,2012,3,+2 Laps,12,1
310,2012,3,+3 Laps,13,1
311,2012,3,Wheel nut,61,1
312,2012,4,Finished,1,14
313,2012,4,Engine,5,1
314,2012,4,+1 Lap,11,3
315,2012,4,+2 Laps,12,3
316,2012,4,Puncture,29,1
317,2012,4,Exhaust,43,1
318,2012,4,Vibrations,76,1
319,2012,5,Finished,1,9
320,2012,5,Collision,4,2
321,2012,5,+1 Lap,11,8
322,2012,5,+2 Laps,12,1
323,2012,5,+3 Laps,13,1
324,2012,5,Mechanical,26,2
325,2012,5,Wheel nut,61,1
326,2012,6,Finished,1,10
327,2012,6,Accident,3,4
328,2012,6,Collision,4,1
329,2012,6,Electrical,10,1
330,2012,6,+1 Lap,11,4
331,2012,6,+2 Laps,12,1
332,2012,6,Retired,31,2
333,2012,6,Fuel pressure,32,1
334,2012,7,Finished,1,14
335,2012,7,+1 Lap,11,5
336,2012,7,+3 Laps,13,1
337,2012,7,Suspension,22,2
338,2012,7,Brakes,23,1
339,2012,7,Rear wing,65,1
340,2012,8,Finished,1,15
341,2012,8,Collision,4,3
342,2012,8,Gearbox,6,1
343,2012,8,+1 Lap,11,3
344,2012,8,Electronics,40,1
345,2012,8,Withdrew,54,1
346,2012,9,Finished,1,15
347,2012,9,Collision,4,2
348,2012,9,Engine,5,1
349,2012,9,+1 Lap,11,4
350,2012,9,+2 Laps,12,2
351,2012,10,Finished,1,14
352,2012,10,+1 Lap,11,4
353,2012,10,+2 Laps,12,2
354,2012,10,+3 Laps,13,3
355,2012,10,Puncture,29,1
356,2012,11,Finished,1,14
357,2012,11,+1 Lap,11,3
358,2012,11,+2 Laps,12,3
359,2012,11,+3 Laps,13,2
360,2012,11,Suspension,22,1
361,2012,11,+11 Laps,45,1
362,2012,12,Finished,1,13
363,2012,12,Collision,4,5
364,2012,12,+1 Lap,11,5
365,2012,12,Spun off,20,1
366,2012,13,Finished,1,13
367,2012,13,+1 Lap,11,6
368,2012,13,Suspension,22,1
369,2012,13,Brakes,23,1
370,2012,13,Fuel pressure,32,1
371,2012,13,Vibrations,76,1
372,2012,13,Alternator,91,1
373,2012,14,Finished,1,16
374,2012,14,Accident,3,1
375,2012,14,Collision,4,2
376,2012,14,Gearbox,6,1
377,2012,14,Hydraulics,9,1
378,2012,14,+1 Lap,11,1
379,2012,14,+2 Laps,12,1
380,2012,14,Retired,31,1
381,2012,15,Finished,1,14
